Type,Condition,SNOMED Concept ID,Code Description
National,Learning Disability,717223008,X-linked epilepsy with learning disability and behavior disorder syndrome (disorder)
National,Learning Disability,717822006,Goldberg Shprintzen megacolon syndrome (disorder)
National,Learning Disability,717887003,Biemond syndrome type 2 (disorder)
National,Learning Disability,717945001,"Brain anomaly, severe mental retardation, ectodermal dysplasia, skeletal deformity, ear anomaly, kidney dysplasia syndrome (disorder)"
National,Learning Disability,718226002,Wolf Hirschhorn syndrome (disorder)
National,Learning Disability,718573009,Achalasia microcephaly syndrome (disorder)
National,Learning Disability,718577005,X-linked intellectual disability Atkin type (disorder)
National,Learning Disability,718680001,Oro-facial digital syndrome type 9 (disorder)
National,Learning Disability,718681002,Oro-facial digital syndrome type 11 (disorder)
National,Learning Disability,718766002,"Spondyloepiphyseal dysplasia, craniosynostosis, cleft palate, cataract and intellectual disability syndrome (disorder)"
National,Learning Disability,718848000,Fried syndrome (disorder)
National,Learning Disability,718897009,X-linked intellectual disability Seemanova type (disorder)
National,Learning Disability,718900002,Syndromic X-linked intellectual disability type 11 (disorder)
National,Learning Disability,718905007,X-linked intellectual disability Shrimpton type (disorder)
National,Learning Disability,718908009,X-linked intellectual disability Siderius type (disorder)
National,Learning Disability,718909001,X-linked intellectual disability Stevenson type (disorder)
National,Learning Disability,718910006,X-linked intellectual disability Stocco Dos Santos type (disorder)
National,Learning Disability,718911005,X-linked intellectual disability Stoll type (disorder)
National,Learning Disability,718912003,X-linked intellectual disability Turner type (disorder)
National,Learning Disability,718914002,X-linked intellectual disability Van Esch type (disorder)
National,Learning Disability,719009006,X-linked intellectual disability Wilson type (disorder)
National,Learning Disability,719010001,X-linked intellectual disability Schimke type (disorder)
National,Learning Disability,719011002,X-linked intellectual disability Pai type (disorder)
National,Learning Disability,719012009,X-linked intellectual disability Miles Carpenter type (disorder)
National,Learning Disability,719013004,X-linked intellectual disability Cilliers type (disorder)
National,Learning Disability,719016007,X-linked intellectual disability Cantagrel type (disorder)
National,Learning Disability,719017003,X-linked intellectual disability Armfield type (disorder)
National,Learning Disability,719018008,X-linked intellectual disability Abidi type (disorder)
National,Learning Disability,719020006,Pallister W syndrome (disorder)
National,Learning Disability,719069008,Shprintzen Goldberg craniosynostosis syndrome (disorder)
National,Learning Disability,719097002,Branchioskeletogenital syndrome (disorder)
National,Learning Disability,719136005,X-linked intellectual disability with cerebellar hypoplasia syndrome (disorder)
National,Learning Disability,719138006,X-linked intellectual disability with cubitus valgus and dysmorphism syndrome (disorder)
National,Learning Disability,719139003,"X-linked Dandy-Walker malformation with intellectual disability, basal ganglia disease and seizure syndrome (disorder)"
National,Learning Disability,719140001,X-linked intellectual disability with dysmorphism and cerebral atrophy syndrome (disorder)
National,Learning Disability,719155005,X-linked intellectual disability and epilepsy with progressive joint contracture and facial dysmorphism syndrome (disorder)
National,Learning Disability,719157002,X-linked intellectual disability and hypotonia with facial dysmorphism and aggressive behavior syndrome (disorder)
National,Learning Disability,719160009,Syndromic X-linked intellectual disability type 7 (disorder)
National,Learning Disability,719162001,Radioulnar synostosis with microcephaly and scoliosis syndrome (disorder)
National,Learning Disability,719202006,Spondyloepiphyseal dysplasia tarda Kohn type (disorder)
National,Learning Disability,719378009,Microcephalus with brachydactyly and kyphoscoliosis syndrome (disorder)
National,Learning Disability,719380003,Microcephalus cardiomyopathy syndrome (disorder)
National,Learning Disability,719450007,Disorder of sex development with intellectual disability syndrome (disorder)
National,Learning Disability,719599008,19q13.11 microdeletion syndrome (disorder)
National,Learning Disability,719800009,"Deafness, onychodystrophy, osteodystrophy, intellectual disability syndrome (disorder)"
National,Learning Disability,719808002,Chromosome Xp11.3 microdeletion syndrome (disorder)
National,Learning Disability,719810000,X-linked intellectual disability with seizure and psoriasis syndrome (disorder)
National,Learning Disability,719811001,X-linked intellectual disability Cabezas type (disorder)
National,Learning Disability,719812008,X-linked intellectual disability with plagiocephaly syndrome (disorder)
National,Learning Disability,719834005,Wilson Turner syndrome (disorder)
National,Learning Disability,719842006,Congenital hypoplasia of ulna and intellectual disability syndrome (disorder)
National,Learning Disability,719909009,Chromosome Xq28 trisomy (disorder)
National,Learning Disability,719947004,Craniofacial dysmorphism with coloboma of eye and corpus callosum agenesis syndrome (disorder)
National,Learning Disability,720401009,Cystic fibrosis with gastritis and megaloblastic anemia syndrome (disorder)
National,Learning Disability,720468000,Aniridia and intellectual disability syndrome (disorder)
National,Learning Disability,720501007,Arachnodactyly with abnormal ossification and intellectual disability syndrome (disorder)
National,Learning Disability,720517001,Ataxia with deafness and intellectual disability syndrome (disorder)
National,Learning Disability,720523006,Autosomal recessive limb girdle muscular dystrophy type 2K (disorder)
National,Learning Disability,720635002,Cerebro-facio-thoracic dysplasia (disorder)
National,Learning Disability,720639008,"Coloboma, congenital heart disease, ichthyosiform dermatosis, intellectual disability ear anomaly syndrome (disorder)"
National,Learning Disability,720746006,Contracture with ectodermal dysplasia and orofacial cleft syndrome (disorder)
National,Learning Disability,720748007,Aural atresia with multiple congenital anomalies and intellectual disability syndrome (disorder)
National,Learning Disability,720954000,Filippi syndrome (disorder)
National,Learning Disability,720955004,Fine Lubinsky syndrome (disorder)
National,Learning Disability,720957007,Deafness with skeletal dysplasia and lip granuloma syndrome (disorder)
National,Learning Disability,720979002,"Alopecia, contracture, dwarfism, intellectual disability syndrome (disorder)"
National,Learning Disability,720980004,"Alopecia, psychomotor epilepsy, periodontal pyorrhea, intellectual disability syndrome (disorder)"
National,Learning Disability,720981000,Alopecia and intellectual disability with hypergonadotropic hypogonadism syndrome (disorder)
National,Learning Disability,720982007,"Alport syndrome, intellectual disability, midface hypoplasia, elliptocytosis syndrome (disorder)"
National,Learning Disability,721007005,Hair defect with photosensitivity and intellectual disability syndrome (disorder)
National,Learning Disability,721008000,Hall Riggs syndrome (disorder)
National,Learning Disability,721017000,Postaxial polydactyly and intellectual disability syndrome (disorder)
National,Learning Disability,721073008,Short stature with webbed neck and congenital heart disease syndrome (disorder)
National,Learning Disability,721087008,Deafness and intellectual disability Martin Probst type syndrome (disorder)
National,Learning Disability,721089006,"Dentinogenesis imperfecta, short stature, hearing loss, intellectual disability syndrome (disorder)"
National,Learning Disability,721146009,"Intellectual disability, epilepsy, bulbous nose syndrome (disorder)"
National,Learning Disability,721207002,"Seizure, sensorineural deafness, ataxia, intellectual disability, electrolyte imbalance syndrome (disorder)"
National,Learning Disability,721208007,Ectodermal dysplasia with blindness syndrome (disorder)
National,Learning Disability,721875000,Juberg Marsidi syndrome (disorder)
National,Learning Disability,721973006,"Lipodystrophy, intellectual disability, deafness syndrome (disorder)"
National,Learning Disability,721974000,Lowry MacLean syndrome (disorder)
National,Learning Disability,722002002,"Intellectual disability, balding, patella luxation, acromicria syndrome (disorder)"
National,Learning Disability,722003007,Intellectual disability with cataract and kyphosis syndrome (disorder)
National,Learning Disability,722031003,Kapur Toriello syndrome (disorder)
National,Learning Disability,722033000,"Macrocephaly, short stature, paraplegia syndrome (disorder)"
National,Learning Disability,722035007,"Intellectual disability, enteropathy, deafness, peripheral neuropathy, ichthyosis, keratoderma syndrome (disorder)"
National,Learning Disability,722037004,"Intellectual disability, epileptic seizures, hypogonadism and hypogenitalism, microcephaly, obesity syndrome (disorder)"
National,Learning Disability,722055008,Oculopalatocerebral syndrome (disorder)
National,Learning Disability,722065002,Okamoto syndrome (disorder)
National,Learning Disability,722110003,"Osteogenesis imperfecta, retinopathy, seizures, intellectual disability syndrome (disorder)"
National,Learning Disability,722209002,"Spastic paraplegia, intellectual disability, palmoplantar hyperkeratosis syndrome (disorder)"
National,Learning Disability,722213009,Severe X-linked intellectual disability Gustavson type (disorder)
National,Learning Disability,722281001,"Agammaglobulinemia, microcephaly, craniosynostosis, severe dermatitis syndrome (disorder)"
National,Learning Disability,722282008,"Agenesis of corpus callosum, intellectual disability, coloboma, micrognathia syndrome (disorder)"
National,Learning Disability,722379001,Congenital cataract with hypertrichosis and intellectual disability syndrome (disorder)
National,Learning Disability,722380003,Congenital cataract with intellectual disability and hypogonadotropic hypogonadism syndrome (disorder)
National,Learning Disability,722454003,"Intellectual disability, craniofacial dysmorphism, hypogonadism, diabetes mellitus syndrome (disorder)"
National,Learning Disability,722455002,"Intellectual disability, hypoplastic corpus callosum, preauricular tag syndrome (disorder)"
National,Learning Disability,722456001,"Intellectual disability, developmental delay, contracture syndrome (disorder)"
National,Learning Disability,722459008,"Male hypergonadotropic hypogonadism, intellectual disability, skeletal anomaly syndrome (disorder)"
National,Learning Disability,722478008,Skeletal dysplasia with intellectual disability syndrome (disorder)
National,Learning Disability,723304001,"Microcephaly, seizure, intellectual disability, heart disease syndrome (disorder)"
National,Learning Disability,723332005,Isodicentric chromosome 15 syndrome (disorder)
National,Learning Disability,723333000,Faciocardiorenal syndrome (disorder)
National,Learning Disability,723336008,Fallot complex with intellectual disability and growth delay syndrome (disorder)
National,Learning Disability,723365002,Hypotrichosis and intellectual disability syndrome Lopes type (disorder)
National,Learning Disability,723403008,"Microbrachycephaly, ptosis, cleft lip syndrome (disorder)"
National,Learning Disability,723441001,Non-progressive cerebellar ataxia with intellectual disability (disorder)
National,Learning Disability,723504000,Ramos Arroyo syndrome (disorder)
National,Learning Disability,723621000,"Spastic tetraplegia, retinitis pigmentosa, intellectual disability syndrome (disorder)"
National,Learning Disability,723676007,"Severe intellectual disability, epilepsy, anal anomaly, distal phalangeal hypoplasia syndrome (disorder)"
National,Learning Disability,723994004,Seizures and intellectual disability due to hydroxylysinuria syndrome (disorder)
National,Learning Disability,724001005,"Retinitis pigmentosa, intellectual disability, deafness, hypogenitalism syndrome (disorder)"
National,Learning Disability,724137002,"Macrocephaly, obesity, mental disability, ocular abnormality syndrome (disorder)"
National,Learning Disability,724207001,Kleefstra syndrome (disorder)
National,Learning Disability,724228005,Infantile choroidocerebral calcification syndrome (disorder)
National,Learning Disability,725140007,Temple Baraitser syndrome (disorder)
National,Learning Disability,725163002,"X-linked spasticity, intellectual disability, epilepsy syndrome (disorder)"
National,Learning Disability,725289009,5-amino-4-imidazole carboxamide ribosiduria (disorder)
National,Learning Disability,725589005,Bullous dystrophy macular type (disorder)
National,Learning Disability,725906006,Intellectual disability Buenos Aires type (disorder)
National,Learning Disability,725908007,Neurofaciodigitorenal syndrome (disorder)
National,Learning Disability,725912001,X-linked intellectual disability Brooks type (disorder)
National,Learning Disability,726031001,"Cerebellar ataxia, intellectual disability, optic atrophy, skin abnormalities syndrome (disorder)"
National,Learning Disability,726670008,Weaver Williams syndrome (disorder)
National,Learning Disability,726672000,"Short stature, unique facies, enamel hypoplasia, progressive joint stiffness, high-pitched voice syndrome (disorder)"
National,Learning Disability,726709001,"Intellectual disability, cataract, calcified pinna, myopathy syndrome (disorder)"
National,Learning Disability,726727003,X-linked intellectual disability Hedera type (disorder)
National,Learning Disability,726732002,X-linked intellectual disability Nascimento type (disorder)
National,Learning Disability,732246009,"X-linked intellectual disability, limb spasticity, retinal dystrophy, diabetes insipidus syndrome (disorder)"
National,Learning Disability,732251003,"Cortical blindness, intellectual disability, polydactyly syndrome (disorder)"
National,Learning Disability,732954002,"Osteopenia, intellectual disability, sparse hair syndrome (disorder)"
National,Learning Disability,732961003,"Branchial dysplasia, intellectual disability, inguinal hernia syndrome (disorder)"
National,Learning Disability,733031004,"Epilepsy, microcephaly, skeletal dysplasia syndrome (disorder)"
National,Learning Disability,733032006,Epilepsy telangiectasia syndrome (disorder)
National,Learning Disability,733049004,"Encephalopathy, intracerebral calcification, retinal degeneration syndrome (disorder)"
National,Learning Disability,733072002,"Alaninuria, microcephaly, dwarfism, enamel hypoplasia, diabetes mellitus syndrome (disorder)"
National,Learning Disability,733086003,Pseudoprogeria syndrome (disorder)
National,Learning Disability,733088002,"Preaxial polydactyly, colobomata, intellectual disability syndrome (disorder)"
National,Learning Disability,733097003,"Ichthyosis, intellectual disability, dwarfism, renal impairment syndrome (disorder)"
National,Learning Disability,733110004,Van den Bosch syndrome (disorder)
National,Learning Disability,733117001,"Thumb stiffness, brachydactyly, intellectual disability syndrome (disorder)"
National,Learning Disability,733417008,"Facial dysmorphism, macrocephaly, myopia, Dandy-Walker malformation syndrome (disorder)"
National,Learning Disability,733419006,"Metaphyseal dysostosis, intellectual disability, conductive deafness syndrome (disorder)"
National,Learning Disability,733455003,"Spastic paraplegia, glaucoma, intellectual disability syndrome (disorder)"
National,Learning Disability,733472005,"Microcephalus, glomerulonephritis, marfanoid habitus syndrome (disorder)"
National,Learning Disability,733522005,Megalocornea with intellectual disability syndrome (disorder)
National,Learning Disability,734017008,"Ectodermal dysplasia, intellectual disability, central nervous system malformation syndrome (disorder)"
National,Learning Disability,734349003,Alpha-thalassemia intellectual disability syndrome linked to chromosome 16 (disorder)
National,Learning Disability,763136000,"Charcot-Marie-Tooth disease, deafness, intellectual disability syndrome (disorder)"
National,Learning Disability,763186006,"Grubben, De Cock, Borghgraef syndrome (disorder)"
National,Learning Disability,763320005,Craniofaciofrontodigital syndrome (disorder)
National,Learning Disability,763350002,"Intellectual disability, obesity, brain malformation, facial dysmorphism syndrome (disorder)"
National,Learning Disability,763404001,"Ichthyosis, alopecia, eclabion, ectropion, intellectual disability syndrome (disorder)"
National,Learning Disability,763615003,"Aortic arch anomaly, facial dysmorphism, intellectual disability syndrome (disorder)"
National,Learning Disability,763618001,Wiedemann Steiner syndrome (disorder)
National,Learning Disability,763626009,Intellectual disability due to nutritional deficiency (disorder)
National,Learning Disability,763665007,Craniodigital syndrome and intellectual disability syndrome (disorder)
National,Learning Disability,763722004,"Hypotonia, speech impairment, severe cognitive delay syndrome (disorder)"
National,Learning Disability,763741001,"Intellectual disability, alacrima, achalasia syndrome (disorder)"
National,Learning Disability,763742008,"Intellectual disability, polydactyly, uncombable hair syndrome (disorder)"
National,Learning Disability,763743003,"Intellectual disability, spasticity, ectrodactyly syndrome (disorder)"
National,Learning Disability,763744009,"Intellectual disability, brachydactyly, Pierre Robin syndrome (disorder)"
National,Learning Disability,763745005,Intellectual disability Wolff type (disorder)
National,Learning Disability,763773007,Macrocephaly and developmental delay syndrome (disorder)
National,Learning Disability,763795006,Malan overgrowth syndrome (disorder)
National,Learning Disability,763797003,Agenesis of corpus callosum and abnormal genitalia syndrome (disorder)
National,Learning Disability,763837007,Oro-facial digital syndrome type 14 (disorder)
National,Learning Disability,763861000,"Pachygyria, intellectual disability, epilepsy syndrome (disorder)"
National,Learning Disability,764861005,Intellectual disability Birk-Barel type (disorder)
National,Learning Disability,764950001,"Cryptorchidism, arachnodactyly, intellectual disability syndrome (disorder)"
National,Learning Disability,764959000,"Intellectual disability, myopathy, short stature, endocrine defect syndrome (disorder)"
National,Learning Disability,765089003,"Focal epilepsy, intellectual disability, cerebro-cerebellar malformation syndrome (disorder)"
National,Learning Disability,765170001,Sodium voltage-gated channel alpha subunit 8-related epilepsy with encephalopathy (disorder)
National,Learning Disability,765434008,Human immunodeficiency virus type I enhancer binding protein 2 related intellectual disability (disorder)
National,Learning Disability,765471005,"X-linked intellectual disability, hypogonadism, ichthyosis, obesity, short stature syndrome (disorder)"
National,Learning Disability,765761009,"Brachydactyly, mesomelia, intellectual disability, heart defect syndrome (disorder)"
National,Learning Disability,766753005,Nijmegen breakage syndrome-like disorder (disorder)
National,Learning Disability,766870005,"Epiphyseal dysplasia, hearing loss, dysmorphism syndrome (disorder)"
National,Learning Disability,766871009,Diencephalic mesencephalic junction dysplasia (disorder)
National,Learning Disability,768677000,Protein phosphatase 2 regulatory subunit b (b56) delta-related intellectual disability (disorder)
National,Learning Disability,770401007,10q22.3q23.3 microdeletion syndrome (disorder)
National,Learning Disability,770411000,Distal monosomy 19p13.3 (disorder)
National,Learning Disability,770564004,Microcephalic primordial dwarfism Alazami type (disorder)
National,Learning Disability,770566002,Monosomy 13q14 syndrome (disorder)
National,Learning Disability,770595006,Ring chromosome 12 syndrome (disorder)
National,Learning Disability,770663003,Tetrasomy 11q24.1 (disorder)
National,Learning Disability,770678005,"Progressive encephalopathy with edema, hypsarrhythmia, and optic atrophy-like syndrome (disorder)"
National,Learning Disability,770679002,"Polyneuropathy, intellectual disability, acromicria, premature menopause syndrome (disorder)"
National,Learning Disability,770719004,3q27.3 microdeletion syndrome (disorder)
National,Learning Disability,770750002,"Intellectual disability, seizures, macrocephaly, obesity syndrome (disorder)"
National,Learning Disability,770755007,"Intellectual disability, seizures, hypotonia, ophthalmologic, skeletal anomalies syndrome (disorder)"
National,Learning Disability,770901001,"Autosomal recessive intellectual disability, motor dysfunction, multiple joint contracture syndrome (disorder)"
National,Learning Disability,770907002,Kagami Ogata syndrome (disorder)
National,Learning Disability,770908007,"49,XXXYY syndrome (disorder)"
National,Learning Disability,770948004,Rhizomelic syndrome Urbach type (disorder)
National,Learning Disability,771072001,Monosomy 9p (disorder)
National,Learning Disability,771149000,"Hepatic fibrosis, renal cyst, intellectual disability syndrome (disorder)"
National,Learning Disability,771262009,Pseudoleprechaunism syndrome Patterson type (disorder)
National,Learning Disability,771336003,Polymicrogyria with optic nerve hypoplasia (disorder)
National,Learning Disability,771472009,Developmental and speech delay due to SRY-box 5 deficiency (disorder)
National,Learning Disability,771512003,Autism spectrum disorder due to AUTS2 activator of transcription and developmental regulator deficiency (disorder)
National,Learning Disability,772127009,White Sutton syndrome (disorder)
National,Learning Disability,773230003,Cyclin-dependent kinase-like 5 deficiency (disorder)
National,Learning Disability,773329005,CK syndrome (disorder)
National,Learning Disability,773394007,Autosomal recessive frontotemporal pachygyria (disorder)
National,Learning Disability,773400009,"Severe feeding difficulties, failure to thrive, microcephaly due to ASXL transcriptional regulator 3 deficiency syndrome (disorder)"
National,Learning Disability,773405004,Intellectual disability with strabismus syndrome (disorder)
National,Learning Disability,773419004,"Severe intellectual disability, short stature, behavioral abnormalities, facial dysmorphism syndrome (disorder)"
National,Learning Disability,773498006,"Autosomal recessive cerebellar ataxia, epilepsy, intellectual disability syndrome due to TUD deficiency (disorder)"
National,Learning Disability,773581009,"Intellectual disability, craniofacial dysmorphism, cryptorchidism syndrome (disorder)"
National,Learning Disability,773622005,Craniofacial dysplasia osteopenia syndrome (disorder)
National,Learning Disability,773665006,"Hypogonadotropic hypogonadism, severe microcephaly, sensorineural hearing loss, dysmorphism syndrome (disorder)"
National,Learning Disability,773670004,Distal Xq28 microduplication syndrome (disorder)
National,Learning Disability,773769008,"Ataxia, photosensitivity, short stature syndrome (disorder)"
National,Learning Disability,773772001,Rare non-syndromic intellectual disability (disorder)
National,Learning Disability,774068004,"AT-hook DNA binding motif containing 1-related intellectual disability, obstructive sleep apnea, mild dysmorphism syndrome (disorder)"
National,Learning Disability,778011005,Severe intellectual disability and progressive spastic paraplegia (disorder)
National,Learning Disability,782676009,Distal trisomy 18q (disorder)
National,Learning Disability,782723007,"Severe intellectual disability, progressive spastic diplegia syndrome (disorder)"
National,Learning Disability,782736007,"Intellectual disability, facial dysmorphism syndrome due to SET domain containing 5 haploinsufficiency (disorder)"
National,Learning Disability,782753000,"Intellectual disability, coarse face, macrocephaly, cerebellar hypotrophy syndrome (disorder)"
National,Learning Disability,782755007,"Primary microcephaly, mild intellectual disability, young-onset diabetes syndrome (disorder)"
National,Learning Disability,782772000,Congenital muscular dystrophy with intellectual disability and severe epilepsy (disorder)
National,Learning Disability,782886007,"Infantile spasms, psychomotor retardation, progressive brain atrophy, basal ganglia disease syndrome (disorder)"
National,Learning Disability,782941005,Richieri Costa-da Silva syndrome (disorder)
National,Learning Disability,782945001,"Ophthalmoplegia, intellectual disability, lingua scrotalis syndrome (disorder)"
National,Learning Disability,783005002,"Severe microbrachycephaly, intellectual disability, athetoid cerebral palsy syndrome (disorder)"
National,Learning Disability,783174004,Congenital muscular dystrophy with intellectual disability (disorder)
National,Learning Disability,783702009,X-linked intellectual disability due to glutamate ionotropic receptor AMPA type subunit 3 mutations (disorder)
National,Learning Disability,783703004,"White matter hypoplasia, corpus callosum agenesis, intellectual disability syndrome (disorder)"
National,Learning Disability,787093004,"Developmental delay, facial dysmorphism syndrome due to mediator complex subunit 13 like deficiency (disorder)"
National,Learning Disability,788417006,"Alopecia, epilepsy, intellectual disability syndrome Moynahan type (disorder)"
National,Learning Disability,816067005,"Diabetes, hypogonadism, deafness, intellectual disability syndrome (disorder)"
National,Learning Disability,838441009,"Mental retardation, adducted thumbs, shuffling gait, aphasia syndrome (disorder)"
National,Learning Disability,840505007,Down syndrome co-occurrent with leukemoid reaction associated transient neonatal pustulosis (disorder)
National,Learning Disability,870262000,Pervasive developmental disorder with disorder of intellectual development without loss of previously acquired skills (disorder)
National,Learning Disability,870264004,Pervasive developmental disorder with disorder of intellectual development and pervasive impairment of functional language without loss of previously acquired skills (disorder)
National,Learning Disability,870265003,Pervasive developmental disorder with disorder of intellectual development with loss of previously acquired skills (disorder)
National,Learning Disability,870266002,Pervasive developmental disorder with disorder of intellectual development and marked impairment of functional language with loss of previously acquired skills (disorder)
National,Learning Disability,870267006,Pervasive developmental disorder with disorder of intellectual development and marked impairment of functional language without loss of previously acquired skills (disorder)
National,Learning Disability,870268001,Pervasive developmental disorder with disorder of intellectual development and complete impairment of functional language without loss of previously acquired skills (disorder)
National,Learning Disability,870269009,Pervasive developmental disorder with disorder of intellectual development and absence of functional language with loss of previously acquired skills (disorder)
National,Learning Disability,870270005,Pervasive developmental disorder with disorder of intellectual development and complete impairment of functional language with loss of previously acquired skills (disorder)
National,Learning Disability,870305003,Pervasive developmental disorder with cognitive developmental delay and marked impairment of functional language (disorder)
National,Learning Disability,870308001,Pervasive developmental disorder with cognitive developmental delay and complete impairment of functional language (disorder)
National,Learning Disability,879919001,Bilateral megalencephaly (disorder)
National,Learning Disability,879937000,Alpha-N-acetylgalactosaminidase deficiency type 1 (disorder)
National,Learning Disability,880065001,Alpha-N-acetylgalactosaminidase deficiency type 2 (disorder)
National,Learning Disability,880066000,Alpha-N-acetylgalactosaminidase deficiency type 3 (disorder)
National,Learning Disability,880081006,12q15 deletion syndrome (disorder)
National,Learning Disability,890118006,Mowat-Wilson syndrome due to monosomy 2q22 (disorder)
National,Learning Disability,890123006,3p25.3 deletion syndrome (disorder)
National,Learning Disability,890130000,9q34 deletion syndrome (disorder)
National,Learning Disability,890221004,Acrocardiofacial syndrome (disorder)
National,Learning Disability,890285006,Bilateral frontal polymicrogyria (disorder)
National,Learning Disability,890286007,Bilateral frontoparietal polymicrogyria (disorder)
National,Learning Disability,890433006,Cockayne syndrome type 1 (disorder)
National,Learning Disability,890434000,Cockayne syndrome type 2 (disorder)
National,Learning Disability,1003368009,Molybdenum cofactor deficiency complementation group B (disorder)
National,Learning Disability,1003373003,Microcephaly with simplified gyral pattern (disorder)
National,Learning Disability,1003374009,Microlissencephaly (disorder)
National,Learning Disability,1003387003,Molybdenum cofactor deficiency complementation group C (disorder)
National,Learning Disability,1003389000,Mosaic 1q duplication (disorder)
National,Learning Disability,1010630006,X-linked complicated corpus callosum dysgenesis (disorder)
National,Learning Disability,1156584007,X-linked intellectual disability hypotonic face syndrome (disorder)
National,Learning Disability,1162462009,Angelman syndrome due to maternal monosomy 15q11q13 (disorder)
National,Learning Disability,1167371007,"Polyhydramnios, megalencephaly, symptomatic epilepsy syndrome (disorder)"
National,Learning Disability,1167375003,"Microcephaly, corpus callosum and cerebellar vermis hypoplasia, facial dysmorphism, intellectual disability syndrome (disorder)"
National,Learning Disability,1169355000,"Brain malformations, musculoskeletal abnormalities, facial dysmorphism, intellectual disability syndrome (disorder)"
National,Learning Disability,1172586007,"Ocular anomalies, axonal neuropathy, developmental delay syndrome (disorder)"
National,Learning Disability,1172626003,"Telomere maintenance 2-related intellectual disability, neurodevelopmental disorder (disorder)"
National,Learning Disability,1172628002,TBC1 domain containing kinase-related intellectual disability syndrome (disorder)
National,Learning Disability,1172629005,"Severe growth deficiency, strabismus, extensive dermal melanocytosis, intellectual disability syndrome (disorder)"
National,Learning Disability,1172630000,"Global developmental delay, neuro-ophthalmological abnormalities, seizures, intellectual disability syndrome (disorder)"
National,Learning Disability,1172691004,Chloride voltage-gated channel 4-related X-linked intellectual disability syndrome (disorder)
National,Learning Disability,1172696009,"Global developmental delay, visual anomalies, progressive cerebellar atrophy, truncal hypotonia syndrome (disorder)"
National,Learning Disability,1172697000,"X-linked female restricted facial dysmorphism, short stature, choanal atresia, intellectual disability (disorder)"
National,Learning Disability,1172698005,"Recurrent metabolic encephalomyopathic crises, rhabdomyolysis, cardiac arrhythmia, intellectual disability syndrome (disorder)"
National,Learning Disability,1172899000,Peripheral myelin protein 22-retinoic acid induced 1 contiguous gene duplication syndrome (disorder)
National,Learning Disability,1177167002,"Intellectual disability, seizures, abnormal gait, facial dysmorphism syndrome (disorder)"
National,Learning Disability,1179301003,Dual specificity tyrosine phosphorylation regulated kinase 1A-related intellectual disability syndrome (disorder)
National,Learning Disability,1179408008,"Chromodomain helicase dna-binding protein 3- related developmental delay, speech delay, intellectual disability, abnormalities of vision, facial dysmorphism syndrome (disorder)"
National,Learning Disability,1186711002,"G protein subunit beta 5-related intellectual disability, cardiac arrhythmia syndrome (disorder)"
National,Learning Disability,1186713004,"Growth delay, intellectual disability, hepatopathy syndrome (disorder)"
National,Learning Disability,1186729007,"Intellectual disability, cardiac anomalies, short stature, joint laxity syndrome (disorder)"
National,Learning Disability,1187038009,Non-specific syndromic intellectual disability (disorder)
National,Learning Disability,1187041000,"Stromal antigen 1-related intellectual disability, facial dysmorphism, gastroesophageal reflux syndrome (disorder)"
National,Learning Disability,1187043002,"Psychomotor regression, oculomotor apraxia, movement disorder, nephropathy syndrome (disorder)"
National,Learning Disability,1187045009,Aicardi Goutieres syndrome type 1 (disorder)
National,Learning Disability,1187046005,Aicardi Goutieres syndrome type 2 (disorder)
National,Learning Disability,1187047001,Aicardi Goutieres syndrome type 3 (disorder)
National,Learning Disability,1187048006,Aicardi Goutieres syndrome type 4 (disorder)
National,Learning Disability,1187049003,Aicardi Goutieres syndrome type 5 (disorder)
National,Learning Disability,1187114007,"Micrognathia, recurrent infections, behavioral abnormalities, mild intellectual disability syndrome (disorder)"
National,Learning Disability,1187210007,"Intellectual disability, epilepsy, extrapyramidal syndrome (disorder)"
National,Learning Disability,1187247007,"WW domain containing adaptor with coiled-coil-related facial dysmorphism, developmental delay, behavioral abnormalities syndrome (disorder)"
National,Learning Disability,1187249005,VPS11 core subunit of CORVET and HOPS complexes-related autosomal recessive hypomyelinating leukodystrophy (disorder)
National,Learning Disability,1187277001,"Short stature, brachydactyly, obesity, global developmental delay syndrome (disorder)"
National,Learning Disability,1187278006,"Spastic paraplegia, severe developmental delay, epilepsy syndrome (disorder)"
National,Learning Disability,1187303004,"Progressive spondyloepimetaphyseal dysplasia, short stature, short fourth metatarsals, intellectual disability syndrome (disorder)"
National,Learning Disability,1187304005,"Macrocephaly, intellectual disability, neurodevelopmental disorder, small thorax syndrome (disorder)"
National,Learning Disability,1197052008,Mitochondrial deoxyribonucleic acid depletion syndrome encephalomyopathic form with methylmalonic aciduria (disorder)
National,Learning Disability,1197148005,Sanjad Sakati syndrome (disorder)
National,Learning Disability,1197588008,"X-linked microcephaly, growth retardation, prognathism, cryptorchidism syndrome (disorder)"
National,Learning Disability,1197591008,"Severe intellectual disability, hypotonia, strabismus, coarse face, planovalgus syndrome (disorder)"
National,Learning Disability,1208341008,Severe oculo-renal-cerebellar syndrome (disorder)
National,Learning Disability,1208344000,Fryns Smeets Thiry syndrome (disorder)
National,Learning Disability,1208481000,Progressive cerebello-cerebral atrophy (disorder)
National,Learning Disability,1208488006,Special AT-rich sequence-binding protein 2-associated syndrome (disorder)
National,Learning Disability,1208987006,"Pleckstrin homology domain interacting protein-related behavioral problems, intellectual disability, obesity, dysmorphic features syndrome (disorder)"
